seed,stage,epoch,metric_type,value
,Backbone,1,validation_loss,0.3022691475396806
,Backbone,1,validation_accuracy,98.78658101356174
,Backbone,2,training_loss,0.4096149653196335
,Backbone,2,training_accuracy,91.32040086737383
,Backbone,2,validation_loss,0.4250767610289834
,Backbone,2,validation_accuracy,92.57673090649536
,Backbone,3,training_loss,0.3928016026256682
,Backbone,3,training_accuracy,92.01195569360604
,Backbone,3,validation_loss,0.2877169339494271
,Backbone,3,validation_accuracy,98.7152034261242
,Backbone,4,training_loss,0.3841086934121807
,Backbone,4,training_accuracy,92.84416573873293
,Backbone,4,validation_loss,0.3757649206302382
,Backbone,4,validation_accuracy,94.50392576730908
,Backbone,5,training_loss,0.3747849008452133
,Backbone,5,training_accuracy,93.1665006153666
,Backbone,5,validation_loss,0.2455210401253267
,Backbone,5,validation_accuracy,99.57173447537473
,Backbone,6,training_loss,0.365237457642841
,Backbone,6,training_accuracy,93.41264724843228
,Backbone,6,validation_loss,0.2769875465468926
,Backbone,6,validation_accuracy,98.85795860099928
,Backbone,7,training_loss,0.3585953839430202
,Backbone,7,training_accuracy,93.72912149094532
,Backbone,7,validation_loss,0.321349180557511
,Backbone,7,validation_accuracy,97.35902926481084
,Backbone,8,training_loss,0.3611469504315308
,Backbone,8,training_accuracy,93.69395768622164
,Backbone,8,validation_loss,0.3158986666663126
,Backbone,8,validation_accuracy,97.9300499643112
,Backbone,9,training_loss,0.3529452100563585
,Backbone,9,training_accuracy,94.05145636757898
,Backbone,9,validation_loss,0.398202428763563
,Backbone,9,validation_accuracy,87.72305496074233
,Backbone,10,training_loss,0.3517540286152104
,Backbone,10,training_accuracy,94.24485729355916
,Backbone,10,validation_loss,0.2882491980086673
,Backbone,10,validation_accuracy,98.64382583868664
,Backbone,0,training_loss,0.5845439035012927
,Backbone,0,training_accuracy,83.14481626912031
,Backbone,0,validation_loss,0.3796648328954523
,Backbone,0,validation_accuracy,93.9329050678087
,Backbone,1,training_loss,0.4431355768040325
,Backbone,1,training_accuracy,89.45085858289868
,Backbone,1,validation_loss,0.3022691475396806
,Backbone,1,validation_accuracy,98.78658101356174
,Backbone,2,training_loss,0.4096149653196335
,Backbone,2,training_accuracy,91.32040086737383
,Backbone,2,validation_loss,0.4250767610289834
,Backbone,2,validation_accuracy,92.57673090649536
,Backbone,3,training_loss,0.3928016026256682
,Backbone,3,training_accuracy,92.01195569360604
,Backbone,3,validation_loss,0.2877169339494271
,Backbone,3,validation_accuracy,98.7152034261242
,Backbone,4,training_loss,0.3841086934121807
,Backbone,4,training_accuracy,92.84416573873293
,Backbone,4,validation_loss,0.3757649206302382
,Backbone,4,validation_accuracy,94.50392576730908
,Backbone,5,training_loss,0.3747849008452133
,Backbone,5,training_accuracy,93.1665006153666
,Backbone,5,validation_loss,0.2455210401253267
,Backbone,5,validation_accuracy,99.57173447537473
,Backbone,6,training_loss,0.365237457642841
,Backbone,6,training_accuracy,93.41264724843228
,Backbone,6,validation_loss,0.2769875465468926
,Backbone,6,validation_accuracy,98.85795860099928
,Backbone,7,training_loss,0.3585953839430202
,Backbone,7,training_accuracy,93.72912149094532
,Backbone,7,validation_loss,0.321349180557511
,Backbone,7,validation_accuracy,97.35902926481084
,Backbone,8,training_loss,0.3611469504315308
,Backbone,8,training_accuracy,93.69395768622164
,Backbone,8,validation_loss,0.3158986666663126
,Backbone,8,validation_accuracy,97.9300499643112
,Backbone,9,training_loss,0.3529452100563585
,Backbone,9,training_accuracy,94.05145636757898
,Backbone,9,validation_loss,0.398202428763563
,Backbone,9,validation_accuracy,87.72305496074233
,Backbone,10,training_loss,0.3517540286152104
,Backbone,10,training_accuracy,94.24485729355916
,Backbone,10,validation_loss,0.2882491980086673
,Backbone,10,validation_accuracy,98.64382583868664
42.0,Backbone,0,training_loss,0.5845439035012927
42.0,Backbone,0,training_accuracy,83.14481626912031
42.0,Backbone,0,validation_loss,1.4245022418628257
42.0,Backbone,0,validation_accuracy,63.38240845602114
42.0,Backbone,1,training_loss,0.4431355768040325
42.0,Backbone,1,training_accuracy,89.45085858289868
42.0,Backbone,1,validation_loss,1.3896794931357166
42.0,Backbone,1,validation_accuracy,70.21517553793885
42.0,Backbone,2,training_loss,0.4096149653196335
42.0,Backbone,2,training_accuracy,91.32040086737383
42.0,Backbone,2,validation_loss,1.588366399507925
42.0,Backbone,2,validation_accuracy,53.49188372970932
42.0,Backbone,3,training_loss,0.3928016026256682
42.0,Backbone,3,training_accuracy,92.01195569360604
42.0,Backbone,3,validation_loss,1.460178941488266
42.0,Backbone,3,validation_accuracy,57.00264250660626
42.0,Backbone,4,training_loss,0.3841086934121807
42.0,Backbone,4,training_accuracy,92.84416573873293
42.0,Backbone,4,validation_loss,1.3486951221543622
42.0,Backbone,4,validation_accuracy,57.11589278973197
42.0,Backbone,5,training_loss,0.3747849008452133
42.0,Backbone,5,training_accuracy,93.1665006153666
42.0,Backbone,5,validation_loss,1.3233030781329396
42.0,Backbone,5,validation_accuracy,64.81691204228011
42.0,Backbone,6,training_loss,0.365237457642841
42.0,Backbone,6,training_accuracy,93.41264724843228
42.0,Backbone,6,validation_loss,1.4652869410543556
42.0,Backbone,6,validation_accuracy,71.1211778029445
42.0,Backbone,7,training_loss,0.3585953839430202
42.0,Backbone,7,training_accuracy,93.72912149094532
42.0,Backbone,7,validation_loss,1.4928964433899845
42.0,Backbone,7,validation_accuracy,66.02491506228766
42.0,Backbone,8,training_loss,0.3611469504315308
42.0,Backbone,8,training_accuracy,93.69395768622164
42.0,Backbone,8,validation_loss,1.666807879884559
42.0,Backbone,8,validation_accuracy,58.39939599848999
42.0,Backbone,9,training_loss,0.3529452100563585
42.0,Backbone,9,training_accuracy,94.05145636757898
42.0,Backbone,9,validation_loss,1.4794316130230225
42.0,Backbone,9,validation_accuracy,63.94865987164968
42.0,Backbone,10,training_loss,0.3517540286152104
42.0,Backbone,10,training_accuracy,94.24485729355916
42.0,Backbone,10,validation_loss,1.3828751229378111
42.0,Backbone,10,validation_accuracy,70.29067572668932
42.0,Backbone,11,training_loss,0.3437973108240281
42.0,Backbone,11,training_accuracy,94.61407724315772
42.0,Backbone,11,validation_loss,1.5432622596082917
42.0,Backbone,11,validation_accuracy,55.53038882597207
,Backbone,0,training_loss,0.5845439035012927
,Backbone,0,training_accuracy,83.14481626912031
,Backbone,0,validation_loss,0.3796648328954523
,Backbone,0,validation_accuracy,93.9329050678087
,Backbone,1,training_loss,0.4431355768040325
,Backbone,1,training_accuracy,89.45085858289868
,Backbone,1,validation_loss,0.3022691475396806
,Backbone,1,validation_accuracy,98.78658101356174
,Backbone,2,training_loss,0.4096149653196335
,Backbone,2,training_accuracy,91.32040086737383
,Backbone,2,validation_loss,0.4250767610289834
,Backbone,2,validation_accuracy,92.57673090649536
,Backbone,3,training_loss,0.3928016026256682
,Backbone,3,training_accuracy,92.01195569360604
,Backbone,3,validation_loss,0.2877169339494271
,Backbone,3,validation_accuracy,98.7152034261242
,Backbone,4,training_loss,0.3841086934121807
,Backbone,4,training_accuracy,92.84416573873293
,Backbone,4,validation_loss,0.3757649206302382
,Backbone,4,validation_accuracy,94.50392576730908
,Backbone,5,training_loss,0.3747849008452133
,Backbone,5,training_accuracy,93.1665006153666
,Backbone,5,validation_loss,0.2455210401253267
,Backbone,5,validation_accuracy,99.57173447537473
,Backbone,6,training_loss,0.365237457642841
,Backbone,6,training_accuracy,93.41264724843228
,Backbone,6,validation_loss,0.2769875465468926
,Backbone,6,validation_accuracy,98.85795860099928
,Backbone,7,training_loss,0.3585953839430202
,Backbone,7,training_accuracy,93.72912149094532
,Backbone,7,validation_loss,0.321349180557511
,Backbone,7,validation_accuracy,97.35902926481084
,Backbone,8,training_loss,0.3611469504315308
,Backbone,8,training_accuracy,93.69395768622164
,Backbone,8,validation_loss,0.3158986666663126
,Backbone,8,validation_accuracy,97.9300499643112
,Backbone,9,training_loss,0.3529452100563585
,Backbone,9,training_accuracy,94.05145636757898
,Backbone,9,validation_loss,0.398202428763563
,Backbone,9,validation_accuracy,87.72305496074233
,Backbone,10,training_loss,0.3517540286152104
,Backbone,10,training_accuracy,94.24485729355916
,Backbone,10,validation_loss,0.2882491980086673
,Backbone,10,validation_accuracy,98.64382583868664
42.0,Backbone,0,training_loss,0.5845439035012927
42.0,Backbone,0,training_accuracy,83.14481626912031
42.0,Backbone,0,validation_loss,0.3796648328954523
42.0,Backbone,0,validation_accuracy,93.9329050678087
42.0,Backbone,1,training_loss,0.4431355768040325
42.0,Backbone,1,training_accuracy,89.45085858289868
42.0,Backbone,1,validation_loss,0.3022691475396806
42.0,Backbone,1,validation_accuracy,98.78658101356174
42.0,Backbone,2,training_loss,0.4096149653196335
42.0,Backbone,2,training_accuracy,91.32040086737383
42.0,Backbone,2,validation_loss,0.4250767610289834
42.0,Backbone,2,validation_accuracy,92.57673090649536
42.0,Backbone,3,training_loss,0.3928016026256682
42.0,Backbone,3,training_accuracy,92.01195569360604
42.0,Backbone,3,validation_loss,0.2877169339494271
42.0,Backbone,3,validation_accuracy,98.7152034261242
42.0,Backbone,4,training_loss,0.3841086934121807
42.0,Backbone,4,training_accuracy,92.84416573873293
42.0,Backbone,4,validation_loss,0.3757649206302382
42.0,Backbone,4,validation_accuracy,94.50392576730908
42.0,Backbone,5,training_loss,0.3747849008452133
42.0,Backbone,5,training_accuracy,93.1665006153666
42.0,Backbone,5,validation_loss,0.2455210401253267
42.0,Backbone,5,validation_accuracy,99.57173447537473
42.0,Backbone,6,training_loss,0.365237457642841
42.0,Backbone,6,training_accuracy,93.41264724843228
42.0,Backbone,6,validation_loss,0.2769875465468926
42.0,Backbone,6,validation_accuracy,98.85795860099928
42.0,Backbone,7,training_loss,0.3585953839430202
42.0,Backbone,7,training_accuracy,93.72912149094532
42.0,Backbone,7,validation_loss,0.321349180557511
42.0,Backbone,7,validation_accuracy,97.35902926481084
42.0,Backbone,8,training_loss,0.3611469504315308
42.0,Backbone,8,training_accuracy,93.69395768622164
42.0,Backbone,8,validation_loss,0.3158986666663126
42.0,Backbone,8,validation_accuracy,97.9300499643112
42.0,Backbone,9,training_loss,0.3529452100563585
42.0,Backbone,9,training_accuracy,94.05145636757898
42.0,Backbone,9,validation_loss,0.398202428763563
42.0,Backbone,9,validation_accuracy,87.72305496074233
42.0,Backbone,10,training_loss,0.3517540286152104
42.0,Backbone,10,training_accuracy,94.24485729355916
42.0,Backbone,10,validation_loss,0.2882491980086673
42.0,Backbone,10,validation_accuracy,98.64382583868664
42.0,Backbone,0,training_loss,0.5845438473010331
42.0,Backbone,0,training_accuracy,83.14481626912031
42.0,Backbone,0,validation_loss,0.379633179442449
42.0,Backbone,0,validation_accuracy,93.9329050678087
42.0,Backbone,1,training_loss,0.4431135820203952
42.0,Backbone,1,training_accuracy,89.44499794877805
42.0,Backbone,1,validation_loss,0.3025143654509024
42.0,Backbone,1,validation_accuracy,98.78658101356174
42.0,Backbone,2,training_loss,0.4095944251572148
42.0,Backbone,2,training_accuracy,91.35556467209751
42.0,Backbone,2,validation_loss,0.4224104691635478
42.0,Backbone,2,validation_accuracy,93.2905067808708
42.0,Backbone,3,training_loss,0.392803114061052
42.0,Backbone,3,training_accuracy,92.01781632772666
42.0,Backbone,3,validation_loss,0.287054430693388
42.0,Backbone,3,validation_accuracy,98.7152034261242
42.0,Backbone,4,training_loss,0.3840446536907096
42.0,Backbone,4,training_accuracy,92.86174764109477
42.0,Backbone,4,validation_loss,0.3764007152481513
42.0,Backbone,4,validation_accuracy,94.36117059243398
42.0,Backbone,5,training_loss,0.3747109317321902
42.0,Backbone,5,training_accuracy,93.16063998124596
42.0,Backbone,5,validation_loss,0.2450192953375252
42.0,Backbone,5,validation_accuracy,99.57173447537473
42.0,Backbone,6,training_loss,0.365162256226111
42.0,Backbone,6,training_accuracy,93.38334407782922
42.0,Backbone,6,validation_loss,0.2759781994602897
42.0,Backbone,6,validation_accuracy,98.85795860099928
42.0,Backbone,7,training_loss,0.3585861788762642
42.0,Backbone,7,training_accuracy,93.73498212506593
42.0,Backbone,7,validation_loss,0.3217001597989689
42.0,Backbone,7,validation_accuracy,97.2876516773733
42.0,Backbone,8,training_loss,0.361091057236275
42.0,Backbone,8,training_accuracy,93.6763757838598
42.0,Backbone,8,validation_loss,0.3151943094351075
42.0,Backbone,8,validation_accuracy,97.9300499643112
42.0,Backbone,9,training_loss,0.3528657346573215
42.0,Backbone,9,training_accuracy,94.05145636757898
42.0,Backbone,9,validation_loss,0.3973159210925752
42.0,Backbone,9,validation_accuracy,88.15132048536759
42.0,Backbone,10,training_loss,0.3516463614749104
42.0,Backbone,10,training_accuracy,94.25071792767976
42.0,Backbone,10,validation_loss,0.2866203730756586
42.0,Backbone,10,validation_accuracy,98.7152034261242
,Backbone,0,training_loss,0.5845438473010331
,Backbone,0,training_accuracy,83.14481626912031
,Backbone,0,validation_loss,0.379633179442449
,Backbone,0,validation_accuracy,93.9329050678087
,Backbone,1,training_loss,0.4431135820203952
,Backbone,1,training_accuracy,89.44499794877805
,Backbone,1,validation_loss,0.3025143654509024
,Backbone,1,validation_accuracy,98.78658101356174
,Backbone,2,training_loss,0.4095944251572148
,Backbone,2,training_accuracy,91.35556467209751
,Backbone,2,validation_loss,0.4224104691635478
,Backbone,2,validation_accuracy,93.2905067808708
,Backbone,3,training_loss,0.392803114061052
,Backbone,3,training_accuracy,92.01781632772666
,Backbone,3,validation_loss,0.287054430693388
,Backbone,3,validation_accuracy,98.7152034261242
,Backbone,4,training_loss,0.3840446536907096
,Backbone,4,training_accuracy,92.86174764109477
,Backbone,4,validation_loss,0.3764007152481513
,Backbone,4,validation_accuracy,94.36117059243398
,Backbone,5,training_loss,0.3747109317321902
,Backbone,5,training_accuracy,93.16063998124596
,Backbone,5,validation_loss,0.2450192953375252
,Backbone,5,validation_accuracy,99.57173447537473
,Backbone,6,training_loss,0.365162256226111
,Backbone,6,training_accuracy,93.38334407782922
,Backbone,6,validation_loss,0.2759781994602897
,Backbone,6,validation_accuracy,98.85795860099928
,Backbone,7,training_loss,0.3585861788762642
,Backbone,7,training_accuracy,93.73498212506593
,Backbone,7,validation_loss,0.3217001597989689
,Backbone,7,validation_accuracy,97.2876516773733
,Backbone,8,training_loss,0.361091057236275
,Backbone,8,training_accuracy,93.6763757838598
,Backbone,8,validation_loss,0.3151943094351075
,Backbone,8,validation_accuracy,97.9300499643112
,Backbone,9,training_loss,0.3528657346573215
,Backbone,9,training_accuracy,94.05145636757898
,Backbone,9,validation_loss,0.3973159210925752
,Backbone,9,validation_accuracy,88.15132048536759
,Backbone,10,training_loss,0.3516463614749104
,Backbone,10,training_accuracy,94.25071792767976
,Backbone,10,validation_loss,0.2866203730756586
,Backbone,10,validation_accuracy,98.7152034261242
,Backbone,0,training_loss,0.5845438473010331
,Backbone,0,training_accuracy,83.14481626912031
,Backbone,0,validation_loss,0.379633179442449
,Backbone,0,validation_accuracy,93.9329050678087
,Backbone,1,training_loss,0.4431135820203952
,Backbone,1,training_accuracy,89.44499794877805
,Backbone,1,validation_loss,0.3025143654509024
,Backbone,1,validation_accuracy,98.78658101356174
,Backbone,2,training_loss,0.4095944251572148
,Backbone,2,training_accuracy,91.35556467209751
,Backbone,2,validation_loss,0.4224104691635478
,Backbone,2,validation_accuracy,93.2905067808708
,Backbone,3,training_loss,0.392803114061052
,Backbone,3,training_accuracy,92.01781632772666
,Backbone,3,validation_loss,0.287054430693388
,Backbone,3,validation_accuracy,98.7152034261242
,Backbone,4,training_loss,0.3840446536907096
,Backbone,4,training_accuracy,92.86174764109477
,Backbone,4,validation_loss,0.3764007152481513
,Backbone,4,validation_accuracy,94.36117059243398
,Backbone,5,training_loss,0.3747109317321902
,Backbone,5,training_accuracy,93.16063998124596
,Backbone,5,validation_loss,0.2450192953375252
,Backbone,5,validation_accuracy,99.57173447537473
,Backbone,6,training_loss,0.365162256226111
,Backbone,6,training_accuracy,93.38334407782922
,Backbone,6,validation_loss,0.2759781994602897
,Backbone,6,validation_accuracy,98.85795860099928
,Backbone,7,training_loss,0.3585861788762642
,Backbone,7,training_accuracy,93.73498212506593
,Backbone,7,validation_loss,0.3217001597989689
,Backbone,7,validation_accuracy,97.2876516773733
,Backbone,8,training_loss,0.361091057236275
,Backbone,8,training_accuracy,93.6763757838598
,Backbone,8,validation_loss,0.3151943094351075
,Backbone,8,validation_accuracy,97.9300499643112
,Backbone,9,training_loss,0.3528657346573215
,Backbone,9,training_accuracy,94.05145636757898
,Backbone,9,validation_loss,0.3973159210925752
,Backbone,9,validation_accuracy,88.15132048536759
,Backbone,10,training_loss,0.3516463614749104
,Backbone,10,training_accuracy,94.25071792767976
,Backbone,10,validation_loss,0.2866203730756586
,Backbone,10,validation_accuracy,98.7152034261242
,Backbone,0,training_loss,0.5845438473010331
,Backbone,0,training_accuracy,83.14481626912031
,Backbone,0,validation_loss,0.379633179442449
,Backbone,0,validation_accuracy,93.9329050678087
,Backbone,1,training_loss,0.4431135820203952
,Backbone,1,training_accuracy,89.44499794877805
,Backbone,1,validation_loss,0.3025143654509024
,Backbone,1,validation_accuracy,98.78658101356174
,Backbone,2,training_loss,0.4095944251572148
,Backbone,2,training_accuracy,91.35556467209751
,Backbone,2,validation_loss,0.4224104691635478
,Backbone,2,validation_accuracy,93.2905067808708
,Backbone,3,training_loss,0.392803114061052
,Backbone,3,training_accuracy,92.01781632772666
,Backbone,3,validation_loss,0.287054430693388
,Backbone,3,validation_accuracy,98.7152034261242
,Backbone,4,training_loss,0.3840446536907096
,Backbone,4,training_accuracy,92.86174764109477
,Backbone,4,validation_loss,0.3764007152481513
,Backbone,4,validation_accuracy,94.36117059243398
,Backbone,5,training_loss,0.3747109317321902
,Backbone,5,training_accuracy,93.16063998124596
,Backbone,5,validation_loss,0.2450192953375252
,Backbone,5,validation_accuracy,99.57173447537473
,Backbone,6,training_loss,0.365162256226111
,Backbone,6,training_accuracy,93.38334407782922
,Backbone,6,validation_loss,0.2759781994602897
,Backbone,6,validation_accuracy,98.85795860099928
,Backbone,7,training_loss,0.3585861788762642
,Backbone,7,training_accuracy,93.73498212506593
,Backbone,7,validation_loss,0.3217001597989689
,Backbone,7,validation_accuracy,97.2876516773733
,Backbone,8,training_loss,0.361091057236275
,Backbone,8,training_accuracy,93.6763757838598
,Backbone,8,validation_loss,0.3151943094351075
,Backbone,8,validation_accuracy,97.9300499643112
,Backbone,9,training_loss,0.3528657346573215
,Backbone,9,training_accuracy,94.05145636757898
,Backbone,9,validation_loss,0.3973159210925752
,Backbone,9,validation_accuracy,88.15132048536759
,Backbone,10,training_loss,0.3516463614749104
,Backbone,10,training_accuracy,94.25071792767976
,Backbone,10,validation_loss,0.2866203730756586
,Backbone,10,validation_accuracy,98.7152034261242
,Backbone,0,training_loss,0.5845438473010331
,Backbone,0,training_accuracy,83.14481626912031
,Backbone,0,validation_loss,0.379633179442449
,Backbone,0,validation_accuracy,93.9329050678087
,Backbone,1,training_loss,0.4431135820203952
,Backbone,1,training_accuracy,89.44499794877805
,Backbone,1,validation_loss,0.3025143654509024
,Backbone,1,validation_accuracy,98.78658101356174
,Backbone,2,training_loss,0.4095944251572148
,Backbone,2,training_accuracy,91.35556467209751
,Backbone,2,validation_loss,0.4224104691635478
,Backbone,2,validation_accuracy,93.2905067808708
,Backbone,3,training_loss,0.392803114061052
,Backbone,3,training_accuracy,92.01781632772666
,Backbone,3,validation_loss,0.287054430693388
,Backbone,3,validation_accuracy,98.7152034261242
,Backbone,4,training_loss,0.3840446536907096
,Backbone,4,training_accuracy,92.86174764109477
,Backbone,4,validation_loss,0.3764007152481513
,Backbone,4,validation_accuracy,94.36117059243398
,Backbone,5,training_loss,0.3747109317321902
,Backbone,5,training_accuracy,93.16063998124596
,Backbone,5,validation_loss,0.2450192953375252
,Backbone,5,validation_accuracy,99.57173447537473
,Backbone,6,training_loss,0.365162256226111
,Backbone,6,training_accuracy,93.38334407782922
,Backbone,6,validation_loss,0.2759781994602897
,Backbone,6,validation_accuracy,98.85795860099928
,Backbone,7,training_loss,0.3585861788762642
,Backbone,7,training_accuracy,93.73498212506593
,Backbone,7,validation_loss,0.3217001597989689
,Backbone,7,validation_accuracy,97.2876516773733
,Backbone,8,training_loss,0.361091057236275
,Backbone,8,training_accuracy,93.6763757838598
,Backbone,8,validation_loss,0.3151943094351075
,Backbone,8,validation_accuracy,97.9300499643112
,Backbone,9,training_loss,0.3528657346573215
,Backbone,9,training_accuracy,94.05145636757898
,Backbone,9,validation_loss,0.3973159210925752
,Backbone,9,validation_accuracy,88.15132048536759
,Backbone,10,training_loss,0.3516463614749104
,Backbone,10,training_accuracy,94.25071792767976
,Backbone,10,validation_loss,0.2866203730756586
,Backbone,10,validation_accuracy,98.7152034261242
,Backbone,0,training_loss,0.5845438473010331
,Backbone,0,training_accuracy,83.14481626912031
,Backbone,0,validation_loss,0.379633179442449
,Backbone,0,validation_accuracy,93.9329050678087
,Backbone,1,training_loss,0.4431135820203952
,Backbone,1,training_accuracy,89.44499794877805
,Backbone,1,validation_loss,0.3025143654509024
,Backbone,1,validation_accuracy,98.78658101356174
,Backbone,2,training_loss,0.4095944251572148
,Backbone,2,training_accuracy,91.35556467209751
,Backbone,2,validation_loss,0.4224104691635478
,Backbone,2,validation_accuracy,93.2905067808708
,Backbone,3,training_loss,0.392803114061052
,Backbone,3,training_accuracy,92.01781632772666
,Backbone,3,validation_loss,0.287054430693388
,Backbone,3,validation_accuracy,98.7152034261242
,Backbone,4,training_loss,0.3840446536907096
,Backbone,4,training_accuracy,92.86174764109477
,Backbone,4,validation_loss,0.3764007152481513
,Backbone,4,validation_accuracy,94.36117059243398
,Backbone,5,training_loss,0.3747109317321902
,Backbone,5,training_accuracy,93.16063998124596
,Backbone,5,validation_loss,0.2450192953375252
,Backbone,5,validation_accuracy,99.57173447537473
,Backbone,6,training_loss,0.365162256226111
,Backbone,6,training_accuracy,93.38334407782922
,Backbone,6,validation_loss,0.2759781994602897
,Backbone,6,validation_accuracy,98.85795860099928
,Backbone,7,training_loss,0.3585861788762642
,Backbone,7,training_accuracy,93.73498212506593
,Backbone,7,validation_loss,0.3217001597989689
,Backbone,7,validation_accuracy,97.2876516773733
,Backbone,8,training_loss,0.361091057236275
,Backbone,8,training_accuracy,93.6763757838598
,Backbone,8,validation_loss,0.3151943094351075
,Backbone,8,validation_accuracy,97.9300499643112
,Backbone,9,training_loss,0.3528657346573215
,Backbone,9,training_accuracy,94.05145636757898
,Backbone,9,validation_loss,0.3973159210925752
,Backbone,9,validation_accuracy,88.15132048536759
,Backbone,10,training_loss,0.3516463614749104
,Backbone,10,training_accuracy,94.25071792767976
,Backbone,10,validation_loss,0.2866203730756586
,Backbone,10,validation_accuracy,98.7152034261242
,Backbone,0,training_loss,0.5845439035012927
,Backbone,0,training_accuracy,83.14481626912031
,Backbone,0,validation_loss,0.3796648328954523
,Backbone,0,validation_accuracy,93.9329050678087
,Backbone,1,training_loss,0.4431355768040325
,Backbone,1,training_accuracy,89.45085858289868
,Backbone,1,validation_loss,0.3022691475396806
,Backbone,1,validation_accuracy,98.78658101356174
,Backbone,2,training_loss,0.4096149653196335
,Backbone,2,training_accuracy,91.32040086737383
,Backbone,2,validation_loss,0.4250767610289834
,Backbone,2,validation_accuracy,92.57673090649536
,Backbone,3,training_loss,0.3928016026256682
,Backbone,3,training_accuracy,92.01195569360604
,Backbone,3,validation_loss,0.2877169339494271
,Backbone,3,validation_accuracy,98.7152034261242
,Backbone,4,training_loss,0.3841086934121807
,Backbone,4,training_accuracy,92.84416573873293
,Backbone,4,validation_loss,0.3757649206302382
,Backbone,4,validation_accuracy,94.50392576730908
,Backbone,5,training_loss,0.3747849008452133
,Backbone,5,training_accuracy,93.1665006153666
,Backbone,5,validation_loss,0.2455210401253267
